Mandate	ISIN	Qty	Currency	Price	Price EUR	Exchange rate	Valuation	Valuation EUR	Total Asset EUR	Weight	Valuation Method	Asset Class	Decimal	Valuation EUR with constraint	Step 1 : Target Weight with constraint	
458500000100000069427	IE00BQN1K562	1951	EUR	10.474	10.474	1	20434.774	20434.77	565018.46	0.036166552	1	13000	1	19130.95322	0.033858988	40808.96494
458500000100000069427	LU1138397838	2.319	USD	3847.31	3570.920735	0.928160386	8921.91189	8280.97	565018.46	0.014656105	1	13000	0.001	7752.61232	0.013720989	16537.39261
458500000100000069427	DE000A3D9GR0	2.81	USD	1339.29	1243.075924	0.928160386	3763.4049	3493.04	565018.46	0.006182169	1	13000	0.01	3270.170637	0.005787724	6975.725535
458500000100000069427	LU2329579218	309.906	EUR	67.02	67.02	1	20769.90012	20769.9	565018.46	0.036759683	1	13000	0.001	19444.70064	0.034414275	41478.23151
458500000100000069427	LU1956955634	5.336	EUR	1730.8	1730.8	1	9235.5488	9235.55	565018.46	0.016345572	1	13000	0.001	8646.286451	0.015302662	18443.72294
458500000100000069427	LU1833929307	4.226	EUR	2385.846	2385.846	1	10082.5852	10082.59	565018.46	0.017844709	1	13000	0.001	9439.282047	0.016706148	20135.29204
458500000100000069427	LU1777971893	201.31	EUR	27.71	27.71	1	5578.3001	5578.3	565018.46	0.009872774	1	13000	0.01	5222.383043	0.009242854	11140.06417
458500000100000069427	LU1645746105	73.103	EUR	164.83	164.83	1	12049.56749	12049.57	565018.46	0.021325975	1	13000	0.001	11280.76117	0.019965297	24063.4213
458500000100000069427	LU0952587946	10.951	EUR	523.68	523.68	1	5734.81968	5734.82	565018.46	0.010149792	1	13000	0.001	5368.916466	0.009502197	11452.6402
458500000100000069427	LU0248184466	120.75	EUR	21.7974	21.7974	1	2632.03605	2632.04	565018.46	0.004658325	1	13000	0.01	2464.105742	0.004361107	5256.277809
458500000100000069427	IE0004766675	85.63	EUR	44.7	44.7	1	3827.661	3827.66	565018.46	0.006774398	1	13000	0.01	3583.440596	0.006342166	7643.973616
458500000100000069427	FR0011036920	2.101	EUR	2533.22	2533.22	1	5322.29522	5322.3	565018.46	0.009419692	1	13000	0.001	4982.716825	0.00881868	10628.82303
458500000100000069427	DE000A2QBG39	14.018	EUR	1050.86	1050.86	1	14730.95548	14730.96	565018.46	0.026071643	1	11000	0.001	49387.49244	0.087408635	105350.3411
458500000100000069427	FR0004267185	787	EUR	550.64	550.64	1	433353.68	433353.68	565018.46	0.766972604	1	13000	1	405704.0514	0.718036808	865422.7639
458500000100000069427	IE00B53L3W79	13	EUR	182.92	182.92	1	2377.96	2377.96	565018.46	0.004208641	1	13000	1	2226.237022	0.003940114	4748.870981
458500000100000069427	EUR	1	EUR	1	1	1	7114.35	7114.35	565018.46	0.012591358	1	17000	0.01	7114.35	0.012591359	15175.89095
																
								543173.15		0.961336991				508516.6176		
														34656.53244	0.061336991	
																
										0.936196161				557904.11		
																
																
																
										1205262.397						
